episode,scene_index,scene_id,content_state,has_transcript,x,y,entities,dialogue_hints,artifact_hints
"01x01 - Good News, Bad News",0,03bcef188fdecd355b754c15a2f1e5491e87e75f2662699815291b3ac1e28394,signal,1,-12.379560,-11.094341,This; And; People; Not; We're; There,,
"01x01 - Good News, Bad News",1,4f821ba2b1da41d3ee470cb1d9d19964ee209e499a31af9642dd32b22ab3d5d0,signal,1,-12.830472,-11.365170,You; Get; Then; What; Once; Wherever,,
"01x01 - Good News, Bad News",2,b9296da5669b022790d914e8b68edc9e67f6443cd6a176e8894f6239573f9f5d,signal,1,7.803090,-8.137457,Se; Costanza; D; K. F; D. K. F,,
"01x01 - Good News, Bad News",3,337a21d8c289d0e92ec2cfbb1348d2e673befd55235fa545794ee8e7e36c835f,signal,1,7.180710,-6.058780,Claire; George; Laura; Michigan; Lansing,,
"01x01 - Good News, Bad News",4,e09a4a6aa4be7a242b9aefb263acd3ad425533c28884961fe87934a9e4551dc5,signal,1,7.666139,-4.902789,God,,
"01x01 - Good News, Bad News",5,fb6d08f21894c343eeac907bfe32bf02992e022a8cf192815024bc41b92f832b,signal,1,7.489815,-5.073812,You're; Why; What; Maybe; You; All,,
"01x01 - Good News, Bad News",6,882ce7cf31503c8d2b2387d8fec7bb897d431e3a39293a862cb6343077552804,signal,1,6.375122,-5.427858,Claire; George; New York,,
"01x01 - Good News, Bad News",7,e1ee7557e8f034d5da134f7f8ba730a9081d1a437243dbdf10ce7da843d8124d,signal,1,4.962429,-3.063618,Jerry,,
"01x01 - Good News, Bad News",8,a3a86cd2709f8cbec5610119d90cd70fa7b716a3ae9675e38ebf8f28510748f8,signal,1,4.139944,-3.207704,Jerry; Laura,,
"01x01 - Good News, Bad News",9,7f0c14bb573886adb2e6e63c52683f25aa390679e918c8392a24173b8268938f,signal,1,3.564584,-2.976484,See; Same; Like; Let's; You're; You,,
"01x01 - Good News, Bad News",10,a277ca6374ac4dfd05b19aae4e2326cb5d0ad157bdd023dc796b7f1f1dd431b7,signal,1,-7.412144,-7.536311,Lau; ##ry Day; Neil,,
"01x01 - Good News, Bad News",11,134efeefc651d27adb59af996ae93a0837faa892dce45e65236e9eac91b97c27,signal,1,-7.039089,-7.909424,Met Game; Met,,
"01x01 - Good News, Bad News",12,cb6b312474f7f88d84035fc024adee3880c7a09f35b95ad64aba7a1dace08794,signal,1,-5.464922,13.224669,It's; Yeah; I'm; You; Meat; But,,
"01x01 - Good News, Bad News",13,51c30ff89ed6db23bceb777efe605f9b0e1f54988234316c7702003d23890680,signal,1,-5.505980,13.282337,What; Well; That's; You; Yeah,,
